"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.909,1.000,"TOTAL_DISTANCE_IN_ZONE",0.0,3.9,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,35.1,0.0,16.1,0.0,14.5,10.6,0.0,0.0,44.5,10.0,0.0,0.0,36.2,0.0,0.0,40.1,5.0,12.8,0.0,37.3,0.0,0.0
31.909,1.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0
31.909,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.980,0.000,0.000,0.000,0.000,0.912,0.066,0.000,0.000,0.978,0.000,0.311,0.000,0.433,0.233,0.000,0.000,0.800,0.177,0.000,0.000,0.976,0.000,0.000,0.609,0.233,0.133,0.000,0.975,0.000,0.000
32.910,2.000,"TOTAL_DISTANCE_IN_ZONE",0.0,3.9,0.0,0.0,0.0,0.0,15.6,0.0,0.0,37.3,18.4,12.8,39.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,46.8,0.0,0.0,41.2,30.1,0.0,16.1
32.910,2.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,1,1,0,1
32.910,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.512,0.387,0.100,1.000,0.000,0.000,0.000,0.945,0.000,0.000,0.055,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.443,0.323,0.000,0.233
33.911,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,8.4,0.0,0.0,0.0,0.0,3.9,0.0,0.0,12.8,0.0,0.0,36.2,0.0,4.5,9.5,13.4,0.0,0.0,0.0,0.0,0.0,32.3,0.0,0.0,21.7,0.0,0.0,12.2,0.0,0.0,0.0
33.911,3.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
33.911,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.720,0.000,0.080,0.199,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000
34.912,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,11.7,0.0,0.0,0.0,0.0,12.2,0.0,0.0,13.4,0.0,0.0,0.0,0.0,38.4,0.0,21.2,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,23.4,0.0,18.9,5.0,0.0,0.0,0.0
34.912,4.000,"TOTAL_ENTRIES_IN_ZONE",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
34.912,4.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.387,0.000,0.612,1.000,0.000,0.000,0.000
35.913,5.000,"TOTAL_DISTANCE_IN_ZONE",41.8,31.7,0.0,4.5,0.0,0.0,52.9,0.0,0.0,7.8,0.0,0.0,0.0,0.0,12.8,0.0,16.1,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,44.0,0.0,3.9,25.6,0.0,0.0,0.0
35.913,5.000,"TOTAL_ENTRIES_IN_ZONE",1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
35.913,5.000,"TOTAL_TIME_SPENT_IN_ZONE",0.317,0.516,0.000,0.166,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.780,0.000,0.219,1.000,0.000,0.000,0.000
36.914,6.000,"TOTAL_DISTANCE_IN_ZONE",30.1,0.0,0.0,0.0,49.6,0.0,11.7,14.5,0.0,8.4,0.0,0.0,0.0,0.0,36.2,8.4,26.7,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,37.9,0.0,0.0,16.7,0.0,0.0,0.0
36.914,6.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
36.914,6.000,"TOTAL_TIME_SPENT_IN_ZONE",1.000,0.000,0.000,0.000,0.784,0.000,0.082,0.133,0.000,1.000,0.000,0.000,0.083,0.000,0.783,0.133,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000
