"TIME","BIN_NUM","ENDPOINT","A1_Z1","A1_Z2","A1_Z3","A1_Z4","A2_Z1","A2_Z2","A2_Z3","A2_Z4","A3_Z1","A3_Z2","A3_Z3","A3_Z4","A4_Z1","A4_Z2","A4_Z3","A4_Z4","A5_Z1","A5_Z2","A5_Z3","A5_Z4","A6_Z1","A6_Z2","A6_Z3","A6_Z4","A7_Z1","A7_Z2","A7_Z3","A7_Z4","A8_Z1","A8_Z2","A8_Z3","A8_Z4"
31.918,1.000,"TOTAL_DISTANCE_IN_ZONE",38.4,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,35.0,0.0,0.0,26.1,0.0,0.0,22.8,0.0,0.0,15.0
31.919,1.000,"TOTAL_ENTRIES_IN_ZONE",1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
31.919,1.000,"TOTAL_TIME_SPENT_IN_ZONE",0.980,0.000,0.000,0.000,0.979,0.000,0.000,0.000,0.000,0.978,0.000,0.000,0.978,0.000,0.000,0.000,0.000,0.000,0.977,0.000,0.000,0.000,0.976,0.000,0.000,0.976,0.000,0.000,0.633,0.000,0.000,0.342
32.920,2.000,"TOTAL_DISTANCE_IN_ZONE",5.0,0.0,22.2,17.2,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,31.7,0.0,0.0,46.1,0.0,0.0,0.0,42.3,0.0,0.0
32.920,2.000,"TOTAL_ENTRIES_IN_ZONE",1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
32.920,2.000,"TOTAL_TIME_SPENT_IN_ZONE",0.019,0.000,0.547,0.433,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.975,0.000,0.024
33.921,3.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,27.8,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,0.0,0.0,0.0,0.0,0.0,36.1,0.0,0.0,17.8,31.7,4.4,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0
33.921,3.000,"TOTAL_ENTRIES_IN_ZONE",0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
33.921,3.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.412,0.487,0.099,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
34.922,4.000,"TOTAL_DISTANCE_IN_ZONE",0.0,0.0,37.8,0.0,4.4,22.2,3.9,18.9,0.0,0.0,0.0,0.0,47.8,0.0,0.0,0.0,0.0,15.0,53.4,0.0,0.0,32.2,0.0,0.0,0.0,32.8,0.0,0.0,0.0,29.5,0.0,0.0
34.922,4.000,"TOTAL_ENTRIES_IN_ZONE",0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
34.923,4.000,"TOTAL_TIME_SPENT_IN_ZONE",0.000,0.000,1.000,0.000,0.083,0.416,0.199,0.300,0.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.347,0.652,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
