0.000,"Info","2023-06-02 12:54:56","Service 'ymaze_inLT' : Execution start"
0.000,"Info","Subject Identification","3"
0.000,"Info","Apparatus","139"
0.000,"Info","Unit ID","3A843F"
"TIME","","","ARENA","ACTION","ZONE"
31.045,"Info","Arena",1,"Enter_Zone",2
31.045,"Info","Arena",2,"Enter_Zone",4
31.045,"Info","Arena",3,"Enter_Zone",3
31.045,"Info","Arena",4,"Enter_Zone",3
31.045,"Info","Arena",5,"Enter_Zone",1
31.045,"Info","Arena",6,"Enter_Zone",3
31.045,"Info","Arena",7,"Enter_Zone",1
31.045,"Info","Arena",8,"Enter_Zone",2
31.078,"Info","Arena",2,"Exit_Zone",4
31.078,"Info","Arena",2,"Enter_Zone",2
31.111,"Info","Arena",1,"Exit_Zone",2
31.111,"Info","Arena",1,"Enter_Zone",4
31.245,"Info","Arena",3,"Exit_Zone",3
31.245,"Info","Arena",3,"Enter_Zone",2
31.278,"Info","Arena",3,"Exit_Zone",2
31.278,"Info","Arena",3,"Enter_Zone",3
31.578,"Info","Arena",1,"Exit_Zone",4
31.578,"Info","Arena",1,"Enter_Zone",3
31.711,"Info","Arena",3,"Exit_Zone",3
31.711,"Info","Arena",3,"Enter_Zone",4
32.011,"Info","Arena",3,"Exit_Zone",4
32.011,"Info","Arena",3,"Enter_Zone",3
32.578,"Info","Arena",2,"Exit_Zone",2
32.578,"Info","Arena",2,"Enter_Zone",4
32.978,"Info","Arena",7,"Exit_Zone",1
32.978,"Info","Arena",7,"Enter_Zone",4
33.078,"Info","Arena",2,"Exit_Zone",4
33.078,"Info","Arena",2,"Enter_Zone",3
33.111,"Info","Arena",5,"Exit_Zone",1
33.111,"Info","Arena",5,"Enter_Zone",4
33.178,"Info","Arena",7,"Exit_Zone",4
33.178,"Info","Arena",7,"Enter_Zone",3
33.378,"Info","Arena",5,"Exit_Zone",4
33.378,"Info","Arena",5,"Enter_Zone",2
33.578,"Info","Arena",3,"Exit_Zone",3
33.578,"Info","Arena",3,"Enter_Zone",4
33.811,"Info","Arena",3,"Exit_Zone",4
33.811,"Info","Arena",3,"Enter_Zone",2
35.078,"Info","Arena",7,"Exit_Zone",3
35.078,"Info","Arena",7,"Enter_Zone",4
35.111,"Info","Arena",6,"Exit_Zone",3
35.111,"Info","Arena",6,"Enter_Zone",4
35.144,"Info","Arena",7,"Exit_Zone",4
35.144,"Info","Arena",7,"Enter_Zone",1
35.411,"Info","Arena",6,"Exit_Zone",4
35.411,"Info","Arena",6,"Enter_Zone",2
36.178,"Info","Arena",1,"Exit_Zone",3
36.178,"Info","Arena",1,"Enter_Zone",4
36.411,"Info","Arena",1,"Exit_Zone",4
36.411,"Info","Arena",1,"Enter_Zone",1
37.211,"Info","Arena",6,"Exit_Zone",2
37.211,"Info","Arena",6,"Enter_Zone",4
37.311,"Info","Arena",6,"Exit_Zone",4
37.311,"Info","Arena",6,"Enter_Zone",1
37.544,"Info","Arena",8,"Exit_Zone",2
37.544,"Info","Arena",8,"Enter_Zone",4
37.678,"Info","Arena",7,"Exit_Zone",1
37.678,"Info","Arena",7,"Enter_Zone",4
37.744,"Info","Arena",5,"Exit_Zone",2
37.744,"Info","Arena",5,"Enter_Zone",1
37.744,"Info","Arena",8,"Exit_Zone",4
37.744,"Info","Arena",8,"Enter_Zone",1
37.778,"Info","Arena",5,"Exit_Zone",1
37.778,"Info","Arena",5,"Enter_Zone",2
37.811,"Info","Arena",7,"Exit_Zone",4
37.811,"Info","Arena",7,"Enter_Zone",3
37.844,"Info","Arena",8,"Exit_Zone",1
37.844,"Info","Arena",8,"Enter_Zone",4
37.911,"Info","Arena",8,"Exit_Zone",4
37.911,"Info","Arena",8,"Enter_Zone",2
38.144,"Info","Arena",1,"Exit_Zone",1
38.144,"Info","Arena",1,"Enter_Zone",4
38.311,"Info","Arena",3,"Exit_Zone",2
38.311,"Info","Arena",3,"Enter_Zone",4
38.344,"Info","Arena",2,"Exit_Zone",3
38.344,"Info","Arena",2,"Enter_Zone",4
38.411,"Info","Arena",1,"Exit_Zone",4
38.411,"Info","Arena",1,"Enter_Zone",2
38.411,"Info","Arena",2,"Exit_Zone",4
38.411,"Info","Arena",2,"Enter_Zone",2
38.444,"Info","Arena",3,"Exit_Zone",4
38.444,"Info","Arena",3,"Enter_Zone",1
38.744,"Info","Arena",2,"Exit_Zone",2
38.744,"Info","Arena",2,"Enter_Zone",4
38.811,"Info","Arena",2,"Exit_Zone",4
38.811,"Info","Arena",2,"Enter_Zone",3
39.411,"Info","Arena",6,"Exit_Zone",1
39.411,"Info","Arena",6,"Enter_Zone",4
39.477,"Info","Arena",6,"Exit_Zone",4
39.477,"Info","Arena",6,"Enter_Zone",2
40.144,"Info","Arena",7,"Exit_Zone",3
40.144,"Info","Arena",7,"Enter_Zone",4
40.244,"Info","Arena",7,"Exit_Zone",4
40.244,"Info","Arena",7,"Enter_Zone",2
41.177,"Info","Arena",6,"Exit_Zone",2
41.177,"Info","Arena",6,"Enter_Zone",4
41.311,"Info","Arena",6,"Exit_Zone",4
41.311,"Info","Arena",6,"Enter_Zone",1
41.744,"Info","Arena",5,"Exit_Zone",2
41.744,"Info","Arena",5,"Enter_Zone",4
41.911,"Info","Arena",5,"Exit_Zone",4
41.911,"Info","Arena",5,"Enter_Zone",3
42.077,"Info","Arena",1,"Exit_Zone",2
42.077,"Info","Arena",1,"Enter_Zone",4
42.277,"Info","Arena",3,"Exit_Zone",1
42.277,"Info","Arena",3,"Enter_Zone",4
42.410,"Info","Arena",1,"Exit_Zone",4
42.410,"Info","Arena",1,"Enter_Zone",1
42.477,"Info","Arena",2,"Exit_Zone",3
42.477,"Info","Arena",2,"Enter_Zone",4
42.510,"Info","Arena",3,"Exit_Zone",4
42.510,"Info","Arena",3,"Enter_Zone",3
42.577,"Info","Arena",2,"Exit_Zone",4
42.577,"Info","Arena",2,"Enter_Zone",2
42.710,"Info","Arena",7,"Exit_Zone",2
42.710,"Info","Arena",7,"Enter_Zone",4
42.910,"Info","Arena",2,"Exit_Zone",2
42.910,"Info","Arena",2,"Enter_Zone",4
42.910,"Info","Arena",7,"Exit_Zone",4
42.910,"Info","Arena",7,"Enter_Zone",1
42.944,"Info","Arena",2,"Exit_Zone",4
42.944,"Info","Arena",2,"Enter_Zone",3
43.644,"Info","Arena",5,"Exit_Zone",3
43.644,"Info","Arena",5,"Enter_Zone",4
43.877,"Info","Arena",5,"Exit_Zone",4
43.877,"Info","Arena",5,"Enter_Zone",2
44.410,"Info","Arena",6,"Exit_Zone",1
44.410,"Info","Arena",6,"Enter_Zone",4
44.510,"Info","Arena",3,"Exit_Zone",3
44.510,"Info","Arena",3,"Enter_Zone",4
44.644,"Info","Arena",6,"Exit_Zone",4
44.644,"Info","Arena",6,"Enter_Zone",3
44.844,"Info","Arena",3,"Exit_Zone",4
44.844,"Info","Arena",3,"Enter_Zone",1
46.077,"Info","Arena",7,"Exit_Zone",1
46.077,"Info","Arena",7,"Enter_Zone",4
46.277,"Info","Arena",6,"Exit_Zone",3
46.277,"Info","Arena",6,"Enter_Zone",4
46.310,"Info","Arena",7,"Exit_Zone",4
46.310,"Info","Arena",7,"Enter_Zone",3
46.410,"Info","Arena",6,"Exit_Zone",4
46.410,"Info","Arena",6,"Enter_Zone",1
47.543,"Info","Arena",1,"Exit_Zone",1
47.543,"Info","Arena",1,"Enter_Zone",4
47.610,"Info","Arena",3,"Exit_Zone",1
47.610,"Info","Arena",3,"Enter_Zone",4
47.810,"Info","Arena",3,"Exit_Zone",4
47.810,"Info","Arena",3,"Enter_Zone",2
48.210,"Info","Arena",1,"Exit_Zone",4
48.210,"Info","Arena",1,"Enter_Zone",3
48.410,"Info","Arena",6,"Exit_Zone",1
48.410,"Info","Arena",6,"Enter_Zone",4
48.543,"Info","Arena",6,"Exit_Zone",4
48.543,"Info","Arena",6,"Enter_Zone",3
49.243,"Info","Arena",7,"Exit_Zone",3
49.243,"Info","Arena",7,"Enter_Zone",4
49.377,"Info","Arena",7,"Exit_Zone",4
49.377,"Info","Arena",7,"Enter_Zone",2
50.710,"Info","Arena",1,"Exit_Zone",3
50.710,"Info","Arena",1,"Enter_Zone",4
50.876,"Info","Arena",5,"Exit_Zone",2
50.876,"Info","Arena",5,"Enter_Zone",3
50.910,"Info","Arena",5,"Exit_Zone",3
50.910,"Info","Arena",5,"Enter_Zone",2
50.910,"Info","Arena",6,"Exit_Zone",3
50.910,"Info","Arena",6,"Enter_Zone",4
50.976,"Info","Arena",1,"Exit_Zone",4
50.976,"Info","Arena",1,"Enter_Zone",2
51.010,"Info","Arena",6,"Exit_Zone",4
51.010,"Info","Arena",6,"Enter_Zone",1
51.543,"Info","Arena",3,"Exit_Zone",2
51.543,"Info","Arena",3,"Enter_Zone",4
51.576,"Info","Arena",1,"Exit_Zone",2
51.576,"Info","Arena",1,"Enter_Zone",4
51.676,"Info","Arena",1,"Exit_Zone",4
51.676,"Info","Arena",1,"Enter_Zone",1
51.810,"Info","Arena",3,"Exit_Zone",4
51.810,"Info","Arena",3,"Enter_Zone",3
52.810,"Info","Arena",6,"Exit_Zone",1
52.810,"Info","Arena",6,"Enter_Zone",4
52.976,"Info","Arena",6,"Exit_Zone",4
52.976,"Info","Arena",6,"Enter_Zone",3
53.276,"Info","Arena",2,"Exit_Zone",3
53.276,"Info","Arena",2,"Enter_Zone",4
53.576,"Info","Arena",2,"Exit_Zone",4
53.576,"Info","Arena",2,"Enter_Zone",3
54.076,"Info","Arena",1,"Exit_Zone",1
54.076,"Info","Arena",1,"Enter_Zone",4
54.376,"Info","Arena",6,"Exit_Zone",3
54.376,"Info","Arena",6,"Enter_Zone",4
54.509,"Info","Arena",1,"Exit_Zone",4
54.509,"Info","Arena",1,"Enter_Zone",3
54.543,"Info","Arena",6,"Exit_Zone",4
54.543,"Info","Arena",6,"Enter_Zone",1
55.543,"Info","Arena",5,"Exit_Zone",2
55.543,"Info","Arena",5,"Enter_Zone",4
55.776,"Info","Arena",5,"Exit_Zone",4
55.776,"Info","Arena",5,"Enter_Zone",3
56.309,"Info","Arena",6,"Exit_Zone",1
56.309,"Info","Arena",6,"Enter_Zone",4
56.443,"Info","Arena",6,"Exit_Zone",4
56.443,"Info","Arena",6,"Enter_Zone",3
56.976,"Info","Arena",1,"Exit_Zone",3
56.976,"Info","Arena",1,"Enter_Zone",4
57.209,"Info","Arena",1,"Exit_Zone",4
57.209,"Info","Arena",1,"Enter_Zone",1
57.976,"Info","Arena",6,"Exit_Zone",3
57.976,"Info","Arena",6,"Enter_Zone",4
58.142,"Info","Arena",6,"Exit_Zone",4
58.142,"Info","Arena",6,"Enter_Zone",3
59.542,"Info","Arena",5,"Exit_Zone",3
59.542,"Info","Arena",5,"Enter_Zone",4
59.576,"Info","Arena",3,"Exit_Zone",3
59.576,"Info","Arena",3,"Enter_Zone",4
59.842,"Info","Arena",6,"Exit_Zone",3
59.842,"Info","Arena",6,"Enter_Zone",4
59.876,"Info","Arena",3,"Exit_Zone",4
59.876,"Info","Arena",3,"Enter_Zone",1
59.876,"Info","Arena",5,"Exit_Zone",4
59.876,"Info","Arena",5,"Enter_Zone",1
60.042,"Info","Arena",6,"Exit_Zone",4
60.042,"Info","Arena",6,"Enter_Zone",1
60.242,"Info","Arena",7,"Exit_Zone",2
60.242,"Info","Arena",7,"Enter_Zone",4
60.642,"Info","Arena",7,"Exit_Zone",4
60.642,"Info","Arena",7,"Enter_Zone",1
60.776,"Info","Arena",2,"Exit_Zone",3
60.776,"Info","Arena",2,"Enter_Zone",4
60.809,"Info","Arena",2,"Exit_Zone",4
60.809,"Info","Arena",2,"Enter_Zone",2
61.142,"Info","Arena",2,"Exit_Zone",2
61.142,"Info","Arena",2,"Enter_Zone",3
61.642,"Info","Arena",6,"Exit_Zone",1
61.642,"Info","Arena",6,"Enter_Zone",4
61.742,"Info","Arena",1,"Exit_Zone",1
61.742,"Info","Arena",1,"Enter_Zone",4
61.775,"Info","Arena",6,"Exit_Zone",4
61.775,"Info","Arena",6,"Enter_Zone",3
62.142,"Info","Arena",1,"Exit_Zone",4
62.142,"Info","Arena",1,"Enter_Zone",2
62.475,"Info","Arena",5,"Exit_Zone",1
62.475,"Info","Arena",5,"Enter_Zone",4
62.675,"Info","Arena",5,"Exit_Zone",4
62.675,"Info","Arena",5,"Enter_Zone",2
62.775,"Info","Arena",7,"Exit_Zone",1
62.775,"Info","Arena",7,"Enter_Zone",4
62.909,"Info","Arena",3,"Exit_Zone",1
62.909,"Info","Arena",3,"Enter_Zone",4
63.109,"Info","Arena",7,"Exit_Zone",4
63.109,"Info","Arena",7,"Enter_Zone",2
63.242,"Info","Arena",3,"Exit_Zone",4
63.242,"Info","Arena",3,"Enter_Zone",2
63.375,"Info","Arena",6,"Exit_Zone",3
63.375,"Info","Arena",6,"Enter_Zone",4
63.475,"Info","Arena",6,"Exit_Zone",4
63.475,"Info","Arena",6,"Enter_Zone",2
63.842,"Info","Arena",5,"Exit_Zone",2
63.842,"Info","Arena",5,"Enter_Zone",3
63.875,"Info","Arena",5,"Exit_Zone",3
63.875,"Info","Arena",5,"Enter_Zone",2
64.409,"Info","Arena",5,"Exit_Zone",2
64.409,"Info","Arena",5,"Enter_Zone",3
64.442,"Info","Arena",5,"Exit_Zone",3
64.442,"Info","Arena",5,"Enter_Zone",2
64.875,"Info","Arena",7,"Exit_Zone",2
64.875,"Info","Arena",7,"Enter_Zone",4
64.942,"Info","Arena",7,"Exit_Zone",4
64.942,"Info","Arena",7,"Enter_Zone",1
65.475,"Info","Arena",6,"Exit_Zone",2
65.475,"Info","Arena",6,"Enter_Zone",4
65.642,"Info","Arena",6,"Exit_Zone",4
65.642,"Info","Arena",6,"Enter_Zone",3
66.142,"Info","Arena",5,"Exit_Zone",2
66.142,"Info","Arena",5,"Enter_Zone",4
66.375,"Info","Arena",5,"Exit_Zone",4
66.375,"Info","Arena",5,"Enter_Zone",1
67.042,"Info","Arena",6,"Exit_Zone",3
67.042,"Info","Arena",6,"Enter_Zone",4
67.208,"Info","Arena",1,"Exit_Zone",2
67.208,"Info","Arena",1,"Enter_Zone",4
67.208,"Info","Arena",6,"Exit_Zone",4
67.208,"Info","Arena",6,"Enter_Zone",2
67.542,"Info","Arena",1,"Exit_Zone",4
67.542,"Info","Arena",1,"Enter_Zone",1
69.641,"Info","Arena",7,"Exit_Zone",1
69.641,"Info","Arena",7,"Enter_Zone",4
