0.000,"Info","2023-06-02 17:41:45","Service 'ymazeinLT' : Execution start"
0.000,"Info","Subject Identification","10"
0.000,"Info","Apparatus","148"
0.000,"Info","Unit ID","EAB8E5"
"TIME","","","ARENA","ACTION","ZONE"
30.934,"Info","Arena",1,"Enter_Zone",1
30.934,"Info","Arena",2,"Enter_Zone",1
30.934,"Info","Arena",3,"Enter_Zone",2
30.934,"Info","Arena",4,"Enter_Zone",1
30.934,"Info","Arena",5,"Enter_Zone",3
30.934,"Info","Arena",6,"Enter_Zone",3
30.934,"Info","Arena",7,"Enter_Zone",2
30.934,"Info","Arena",8,"Enter_Zone",1
31.568,"Info","Arena",8,"Exit_Zone",1
31.568,"Info","Arena",8,"Enter_Zone",4
31.934,"Info","Arena",1,"Exit_Zone",1
31.934,"Info","Arena",1,"Enter_Zone",4
31.934,"Info","Arena",8,"Exit_Zone",4
31.934,"Info","Arena",8,"Enter_Zone",2
32.368,"Info","Arena",1,"Exit_Zone",4
32.368,"Info","Arena",1,"Enter_Zone",3
33.401,"Info","Arena",6,"Exit_Zone",3
33.401,"Info","Arena",6,"Enter_Zone",4
33.501,"Info","Arena",6,"Exit_Zone",4
33.501,"Info","Arena",6,"Enter_Zone",2
34.001,"Info","Arena",2,"Exit_Zone",1
34.001,"Info","Arena",2,"Enter_Zone",4
34.301,"Info","Arena",2,"Exit_Zone",4
34.301,"Info","Arena",2,"Enter_Zone",3
34.501,"Info","Arena",2,"Exit_Zone",3
34.501,"Info","Arena",2,"Enter_Zone",2
34.567,"Info","Arena",5,"Exit_Zone",3
34.567,"Info","Arena",5,"Enter_Zone",2
35.001,"Info","Arena",1,"Exit_Zone",3
35.001,"Info","Arena",1,"Enter_Zone",4
35.301,"Info","Arena",7,"Exit_Zone",2
35.301,"Info","Arena",7,"Enter_Zone",4
35.301,"Info","Arena",8,"Exit_Zone",2
35.301,"Info","Arena",8,"Enter_Zone",4
35.367,"Info","Arena",7,"Exit_Zone",4
35.367,"Info","Arena",7,"Enter_Zone",3
35.534,"Info","Arena",1,"Exit_Zone",4
35.534,"Info","Arena",1,"Enter_Zone",1
35.767,"Info","Arena",8,"Exit_Zone",4
35.767,"Info","Arena",8,"Enter_Zone",3
36.401,"Info","Arena",5,"Exit_Zone",2
36.401,"Info","Arena",5,"Enter_Zone",4
36.701,"Info","Arena",5,"Exit_Zone",4
36.701,"Info","Arena",5,"Enter_Zone",1
36.734,"Info","Arena",6,"Exit_Zone",2
36.734,"Info","Arena",6,"Enter_Zone",4
36.967,"Info","Arena",6,"Exit_Zone",4
36.967,"Info","Arena",6,"Enter_Zone",3
37.301,"Info","Arena",2,"Exit_Zone",2
37.301,"Info","Arena",2,"Enter_Zone",4
37.501,"Info","Arena",1,"Exit_Zone",1
37.501,"Info","Arena",1,"Enter_Zone",4
37.567,"Info","Arena",2,"Exit_Zone",4
37.567,"Info","Arena",2,"Enter_Zone",1
37.601,"Info","Arena",8,"Exit_Zone",3
37.601,"Info","Arena",8,"Enter_Zone",4
37.701,"Info","Arena",1,"Exit_Zone",4
37.701,"Info","Arena",1,"Enter_Zone",2
37.967,"Info","Arena",8,"Exit_Zone",4
37.967,"Info","Arena",8,"Enter_Zone",1
38.800,"Info","Arena",5,"Exit_Zone",1
38.800,"Info","Arena",5,"Enter_Zone",4
38.967,"Info","Arena",5,"Exit_Zone",4
38.967,"Info","Arena",5,"Enter_Zone",3
40.667,"Info","Arena",6,"Exit_Zone",3
40.667,"Info","Arena",6,"Enter_Zone",4
40.867,"Info","Arena",5,"Exit_Zone",3
40.867,"Info","Arena",5,"Enter_Zone",4
40.934,"Info","Arena",5,"Exit_Zone",4
