0.000,"Info","2023-09-23 10:11:29","Service 'ymazeinLT' : Execution start"
0.000,"Info","Subject Identification","9"
0.000,"Info","Apparatus","148"
0.000,"Info","Unit ID","EAB8E5"
"TIME","","","ARENA","ACTION","ZONE"
31.858,"Info","Arena",1,"Enter_Zone",2
31.858,"Info","Arena",2,"Enter_Zone",4
31.858,"Info","Arena",3,"Enter_Zone",4
31.858,"Info","Arena",4,"Enter_Zone",3
31.858,"Info","Arena",5,"Enter_Zone",1
31.858,"Info","Arena",6,"Enter_Zone",3
31.858,"Info","Arena",7,"Enter_Zone",3
31.858,"Info","Arena",8,"Enter_Zone",3
32.392,"Info","Arena",2,"Exit_Zone",4
32.392,"Info","Arena",2,"Enter_Zone",3
32.392,"Info","Arena",4,"Exit_Zone",3
32.392,"Info","Arena",4,"Enter_Zone",4
32.425,"Info","Arena",3,"Exit_Zone",4
32.425,"Info","Arena",3,"Enter_Zone",2
32.558,"Info","Arena",4,"Exit_Zone",4
32.558,"Info","Arena",4,"Enter_Zone",2
34.092,"Info","Arena",5,"Exit_Zone",1
34.092,"Info","Arena",5,"Enter_Zone",4
34.392,"Info","Arena",5,"Exit_Zone",4
34.392,"Info","Arena",5,"Enter_Zone",3
35.391,"Info","Arena",4,"Exit_Zone",2
35.391,"Info","Arena",4,"Enter_Zone",4
35.625,"Info","Arena",4,"Exit_Zone",4
35.625,"Info","Arena",4,"Enter_Zone",3
36.725,"Info","Arena",2,"Exit_Zone",3
36.725,"Info","Arena",2,"Enter_Zone",4
37.158,"Info","Arena",2,"Exit_Zone",4
37.158,"Info","Arena",2,"Enter_Zone",2
37.891,"Info","Arena",7,"Exit_Zone",3
37.891,"Info","Arena",7,"Enter_Zone",4
37.925,"Info","Arena",2,"Exit_Zone",2
37.925,"Info","Arena",2,"Enter_Zone",4
38.291,"Info","Arena",7,"Exit_Zone",4
38.291,"Info","Arena",7,"Enter_Zone",2
38.525,"Info","Arena",2,"Exit_Zone",4
38.525,"Info","Arena",2,"Enter_Zone",1
39.624,"Info","Arena",3,"Exit_Zone",2
39.624,"Info","Arena",3,"Enter_Zone",4
39.991,"Info","Arena",3,"Exit_Zone",4
39.991,"Info","Arena",3,"Enter_Zone",1
40.258,"Info","Arena",4,"Exit_Zone",3
40.258,"Info","Arena",4,"Enter_Zone",4
40.424,"Info","Arena",4,"Exit_Zone",4
40.424,"Info","Arena",4,"Enter_Zone",2
40.558,"Info","Arena",5,"Exit_Zone",3
40.558,"Info","Arena",5,"Enter_Zone",4
40.624,"Info","Arena",2,"Exit_Zone",1
40.624,"Info","Arena",2,"Enter_Zone",4
40.791,"Info","Arena",5,"Exit_Zone",4
40.791,"Info","Arena",5,"Enter_Zone",1
40.991,"Info","Arena",2,"Exit_Zone",4
40.991,"Info","Arena",2,"Enter_Zone",3
43.357,"Info","Arena",6,"Exit_Zone",3
43.357,"Info","Arena",6,"Enter_Zone",4
43.491,"Info","Arena",6,"Exit_Zone",4
43.491,"Info","Arena",6,"Enter_Zone",2
43.957,"Info","Arena",4,"Exit_Zone",2
43.957,"Info","Arena",4,"Enter_Zone",4
44.257,"Info","Arena",4,"Exit_Zone",4
44.257,"Info","Arena",4,"Enter_Zone",3
48.757,"Info","Arena",4,"Exit_Zone",3
48.757,"Info","Arena",4,"Enter_Zone",4
49.057,"Info","Arena",4,"Exit_Zone",4
49.057,"Info","Arena",4,"Enter_Zone",2
49.657,"Info","Arena",8,"Exit_Zone",3
49.657,"Info","Arena",8,"Enter_Zone",4
50.257,"Info","Arena",8,"Exit_Zone",4
50.257,"Info","Arena",8,"Enter_Zone",2
50.457,"Info","Arena",2,"Exit_Zone",3
50.457,"Info","Arena",2,"Enter_Zone",4
50.557,"Info","Arena",2,"Exit_Zone",4
50.557,"Info","Arena",2,"Enter_Zone",2
51.923,"Info","Arena",3,"Exit_Zone",1
51.923,"Info","Arena",3,"Enter_Zone",4
51.957,"Info","Arena",7,"Exit_Zone",2
51.957,"Info","Arena",7,"Enter_Zone",4
51.990,"Info","Arena",7,"Exit_Zone",4
51.990,"Info","Arena",7,"Enter_Zone",1
52.357,"Info","Arena",3,"Exit_Zone",4
52.357,"Info","Arena",3,"Enter_Zone",2
52.523,"Info","Arena",5,"Exit_Zone",1
52.523,"Info","Arena",5,"Enter_Zone",4
52.923,"Info","Arena",5,"Exit_Zone",4
52.923,"Info","Arena",5,"Enter_Zone",2
53.423,"Info","Arena",8,"Exit_Zone",2
53.423,"Info","Arena",8,"Enter_Zone",4
53.757,"Info","Arena",8,"Exit_Zone",4
53.757,"Info","Arena",8,"Enter_Zone",3
53.923,"Info","Arena",2,"Exit_Zone",2
53.923,"Info","Arena",2,"Enter_Zone",4
54.490,"Info","Arena",4,"Exit_Zone",2
54.490,"Info","Arena",4,"Enter_Zone",4
54.523,"Info","Arena",2,"Exit_Zone",4
