0,Info,28/2/23 12:57,Service 'ymazeinLT' : Execution start,,
0,Info,Subject Identification,41 42 43 44 45 46 47 48,,
0,Info,Apparatus,148,,
0,Info,Unit ID,EAB8E5,,
30.706,Info,Arena,1,Enter_Zone,2
30.706,Info,Arena,2,Enter_Zone,1
30.706,Info,Arena,3,Enter_Zone,3
30.706,Info,Arena,4,Enter_Zone,3
30.706,Info,Arena,5,Enter_Zone,3
30.706,Info,Arena,6,Enter_Zone,2
30.706,Info,Arena,7,Enter_Zone,1
30.706,Info,Arena,8,Enter_Zone,1
31.506,Info,Arena,3,Exit_Zone,3
31.506,Info,Arena,3,Enter_Zone,4
31.706,Info,Arena,7,Exit_Zone,1
31.706,Info,Arena,7,Enter_Zone,2
31.906,Info,Arena,3,Exit_Zone,4
31.906,Info,Arena,3,Enter_Zone,2
34.306,Info,Arena,3,Exit_Zone,2
34.306,Info,Arena,3,Enter_Zone,4
34.906,Info,Arena,3,Exit_Zone,4
34.906,Info,Arena,3,Enter_Zone,2
34.906,Info,Arena,7,Exit_Zone,2
34.906,Info,Arena,7,Enter_Zone,4
35.706,Info,Arena,5,Exit_Zone,3
35.706,Info,Arena,5,Enter_Zone,4
35.706,Info,Arena,7,Exit_Zone,4
35.706,Info,Arena,7,Enter_Zone,1
36.506,Info,Arena,5,Exit_Zone,4
36.506,Info,Arena,5,Enter_Zone,1
37.706,Info,Arena,7,Exit_Zone,1
37.706,Info,Arena,7,Enter_Zone,4
37.906,Info,Arena,6,Exit_Zone,2
37.906,Info,Arena,6,Enter_Zone,4
37.906,Info,Arena,7,Exit_Zone,4
37.906,Info,Arena,7,Enter_Zone,2
38.106,Info,Arena,6,Exit_Zone,4
38.106,Info,Arena,6,Enter_Zone,3
38.306,Info,Arena,5,Exit_Zone,1
38.306,Info,Arena,5,Enter_Zone,4
38.706,Info,Arena,5,Exit_Zone,4
38.706,Info,Arena,5,Enter_Zone,2
39.906,Info,Arena,6,Exit_Zone,3
39.906,Info,Arena,6,Enter_Zone,4
40.106,Info,Arena,5,Exit_Zone,2
40.106,Info,Arena,5,Enter_Zone,3
40.306,Info,Arena,5,Exit_Zone,3
40.306,Info,Arena,5,Enter_Zone,2
40.306,Info,Arena,6,Exit_Zone,4
40.306,Info,Arena,6,Enter_Zone,1
40.906,Info,Arena,3,Exit_Zone,2
40.906,Info,Arena,3,Enter_Zone,1
41.106,Info,Arena,5,Exit_Zone,2
41.106,Info,Arena,5,Enter_Zone,3
41.306,Info,Arena,5,Exit_Zone,3
41.306,Info,Arena,5,Enter_Zone,2
41.506,Info,Arena,5,Exit_Zone,2
41.506,Info,Arena,5,Enter_Zone,3
41.506,Info,Arena,7,Exit_Zone,2
41.506,Info,Arena,7,Enter_Zone,4
41.706,Info,Arena,7,Exit_Zone,4
41.706,Info,Arena,7,Enter_Zone,3
41.906,Info,Arena,5,Exit_Zone,3
41.906,Info,Arena,5,Enter_Zone,2
43.906,Info,Arena,5,Exit_Zone,2
43.906,Info,Arena,5,Enter_Zone,4
44.306,Info,Arena,5,Exit_Zone,4
44.306,Info,Arena,5,Enter_Zone,3
44.706,Info,Arena,3,Exit_Zone,1
44.706,Info,Arena,3,Enter_Zone,4
44.906,Info,Arena,3,Exit_Zone,4
44.906,Info,Arena,3,Enter_Zone,2
45.906,Info,Arena,6,Exit_Zone,1
45.906,Info,Arena,6,Enter_Zone,4
46.106,Info,Arena,6,Exit_Zone,4
46.106,Info,Arena,6,Enter_Zone,2
47.906,Info,Arena,7,Exit_Zone,3
47.906,Info,Arena,7,Enter_Zone,4
48.106,Info,Arena,5,Exit_Zone,3
48.106,Info,Arena,5,Enter_Zone,4
48.306,Info,Arena,7,Exit_Zone,4
48.306,Info,Arena,7,Enter_Zone,1
48.706,Info,Arena,5,Exit_Zone,4
48.706,Info,Arena,5,Enter_Zone,1
49.106,Info,Arena,6,Exit_Zone,2
49.106,Info,Arena,6,Enter_Zone,3
50.506,Info,Arena,2,Exit_Zone,1
50.506,Info,Arena,2,Enter_Zone,2
50.506,Info,Arena,3,Exit_Zone,2
50.506,Info,Arena,3,Enter_Zone,4
50.506,Info,Arena,7,Exit_Zone,1
50.506,Info,Arena,7,Enter_Zone,4
50.706,Info,Arena,7,Exit_Zone,4
50.706,Info,Arena,7,Enter_Zone,2
50.906,Info,Arena,3,Exit_Zone,4
50.906,Info,Arena,3,Enter_Zone,1
51.306,Info,Arena,6,Exit_Zone,3
51.306,Info,Arena,6,Enter_Zone,4
51.506,Info,Arena,5,Exit_Zone,1
51.506,Info,Arena,5,Enter_Zone,4
51.506,Info,Arena,6,Exit_Zone,4
51.506,Info,Arena,6,Enter_Zone,1
51.906,Info,Arena,5,Exit_Zone,4
51.906,Info,Arena,5,Enter_Zone,3
55.906,Info,Arena,5,Exit_Zone,3
55.906,Info,Arena,5,Enter_Zone,4
56.306,Info,Arena,5,Exit_Zone,4
56.306,Info,Arena,5,Enter_Zone,2
56.506,Info,Arena,7,Exit_Zone,2
56.506,Info,Arena,7,Enter_Zone,4
56.706,Info,Arena,7,Exit_Zone,4
56.706,Info,Arena,7,Enter_Zone,3
56.906,Info,Arena,6,Exit_Zone,1
56.906,Info,Arena,6,Enter_Zone,4
57.306,Info,Arena,6,Exit_Zone,4
57.306,Info,Arena,6,Enter_Zone,3
59.706,Info,Arena,6,Exit_Zone,3
59.706,Info,Arena,6,Enter_Zone,4
59.906,Info,Arena,6,Exit_Zone,4
59.906,Info,Arena,6,Enter_Zone,1
60.306,Info,Arena,7,Exit_Zone,3
60.306,Info,Arena,7,Enter_Zone,4
60.506,Info,Arena,1,Exit_Zone,2
60.506,Info,Arena,1,Enter_Zone,4
60.706,Info,Arena,1,Exit_Zone,4
60.706,Info,Arena,1,Enter_Zone,3
60.906,Info,Arena,7,Exit_Zone,4
60.906,Info,Arena,7,Enter_Zone,1
61.706,Info,Arena,6,Exit_Zone,1
61.706,Info,Arena,6,Enter_Zone,4
62.106,Info,Arena,6,Exit_Zone,4
62.106,Info,Arena,6,Enter_Zone,3
63.306,Info,Arena,6,Exit_Zone,3
63.306,Info,Arena,6,Enter_Zone,1
63.506,Info,Arena,6,Exit_Zone,1
63.506,Info,Arena,6,Enter_Zone,3
65.106,Info,Arena,6,Exit_Zone,3
65.106,Info,Arena,6,Enter_Zone,4
65.506,Info,Arena,6,Exit_Zone,4
65.506,Info,Arena,6,Enter_Zone,2
65.706,Info,Arena,3,Exit_Zone,1
65.706,Info,Arena,3,Enter_Zone,4
65.906,Info,Arena,3,Exit_Zone,4
65.906,Info,Arena,3,Enter_Zone,1
65.906,Info,Arena,5,Exit_Zone,2
65.906,Info,Arena,5,Enter_Zone,4
66.106,Info,Arena,5,Exit_Zone,4
66.106,Info,Arena,5,Enter_Zone,3
67.506,Info,Arena,7,Exit_Zone,1
67.506,Info,Arena,7,Enter_Zone,2
67.906,Info,Arena,6,Exit_Zone,2
67.906,Info,Arena,6,Enter_Zone,4
68.306,Info,Arena,6,Exit_Zone,4
68.306,Info,Arena,6,Enter_Zone,1
69.906,Info,Arena,6,Exit_Zone,1
69.906,Info,Arena,6,Enter_Zone,4
70.306,Info,Arena,6,Exit_Zone,4
70.306,Info,Arena,6,Enter_Zone,3
72.306,Info,Arena,7,Exit_Zone,2
72.306,Info,Arena,7,Enter_Zone,4
72.506,Info,Arena,7,Exit_Zone,4
72.506,Info,Arena,7,Enter_Zone,3
73.506,Info,Arena,6,Exit_Zone,3
73.506,Info,Arena,6,Enter_Zone,4
73.906,Info,Arena,6,Exit_Zone,4
73.906,Info,Arena,6,Enter_Zone,1
76.306,Info,Arena,1,Exit_Zone,3
76.306,Info,Arena,1,Enter_Zone,4
76.306,Info,Arena,7,Exit_Zone,3
